# iter best_consensus archive_size party0_clusters party1_clusters
0 0.6262586543 0 12 12
10 0.6262586543 0 180 180
20 0.6262586543 0 180 180
30 0.6262586543 0 180 180
40 0.6262586543 0 180 180
50 0.6262586543 0 180 180
60 0.6262586543 0 12 180
70 0.6262586543 0 12 180
80 0.6262586543 0 12 180
90 0.6262586543 0 12 180
100 0.6262586543 0 12 180
110 0.6262586543 0 12 180
120 0.6262586543 0 12 180
130 0.6262586543 0 12 180
140 0.6262586543 0 12 180
150 0.6262586543 0 12 180
160 0.6262586543 0 12 180
170 0.6262586543 0 12 180
180 0.6262586543 0 12 180
190 0.6262586543 0 12 180
200 0.6262586543 0 12 180
210 0.6262586543 0 12 180
219 0.6262586543 0 12 180
